checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,num_existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,credit_risk_label,checking_status_eur,savings_status_eur,credit_amount_eur
0-200 DM,18,critical account / other credits,furniture/equipment,3612,<100 DM,>=7 years,3,female : divorced/separated/married,none,4,building society savings / life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,3161.0
<0 DM,48,existing credits paid duly till now,car (new),7763,<100 DM,>=7 years,4,male : single,none,4,unknown / no property,42,bank,for free,1,management / self-employed / highly qualified,1,none,yes,2,bad,<0 EUR,<87 EUR,6793.7
>=200 DM / salary assignments,18,existing credits paid duly till now,furniture/equipment,3049,<100 DM,<1 year,1,female : divorced/separated/married,none,1,building society savings / life insurance,45,stores,own,1,unskilled resident,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,2668.3
0-200 DM,12,existing credits paid duly till now,radio/television,1534,<100 DM,<1 year,1,male : married/widowed,none,1,real estate,23,none,rent,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,1342.46
no checking account,24,delay in paying off in the past,car (new),2032,<100 DM,>=7 years,4,male : single,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1778.28
<0 DM,30,existing credits paid duly till now,furniture/equipment,6350,unknown / no savings account,>=7 years,4,male : single,none,4,building society savings / life insurance,31,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,unknown / no savings account,5557.13
>=200 DM / salary assignments,18,existing credits paid duly till now,furniture/equipment,2864,<100 DM,1-4 years,2,male : single,none,1,real estate,34,none,own,1,unskilled resident,2,none,yes,2,bad,>=175 EUR / salary assignments,<87 EUR,2506.4
no checking account,12,critical account / other credits,car (new),1255,<100 DM,>=7 years,4,male : single,none,4,real estate,61,none,own,2,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,1098.3
<0 DM,24,delay in paying off in the past,car (new),1333,<100 DM,unemployed,4,male : single,none,2,real estate,43,none,for free,2,skilled employee / official,2,none,yes,2,bad,<0 EUR,<87 EUR,1166.56
no checking account,24,critical account / other credits,car (new),2022,<100 DM,1-4 years,4,female : divorced/separated/married,none,4,car or other (not in attribute 6),37,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1769.53
no checking account,24,existing credits paid duly till now,radio/television,1552,<100 DM,4-7 years,3,male : single,none,1,car or other (not in attribute 6),32,bank,own,1,skilled employee / official,2,none,yes,1,good,no checking account,<87 EUR,1358.21
<0 DM,12,all credits at this bank paid duly,radio/television,626,<100 DM,1-4 years,4,female : divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled resident,1,none,yes,2,bad,<0 EUR,<87 EUR,547.84
no checking account,48,critical account / other credits,car (used),8858,unknown / no savings account,4-7 years,2,male : single,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,7751.97
no checking account,12,critical account / other credits,repairs,996,unknown / no savings account,4-7 years,4,female : divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,871.64
no checking account,6,all credits at this bank paid duly,radio/television,1750,500-1000 DM,>=7 years,2,male : single,none,4,building society savings / life insurance,45,bank,own,1,unskilled resident,2,none,yes,1,good,no checking account,437-875 EUR,1531.49
<0 DM,48,existing credits paid duly till now,radio/television,6999,<100 DM,4-7 years,1,male : married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,6125.09
0-200 DM,12,critical account / other credits,car (new),1995,100-500 DM,<1 year,4,male : single,none,1,car or other (not in attribute 6),27,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,87-437 EUR,1745.9
0-200 DM,9,existing credits paid duly till now,education,1199,<100 DM,4-7 years,4,female : divorced/separated/married,none,4,building society savings / life insurance,67,none,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,1049.29
0-200 DM,12,existing credits paid duly till now,radio/television,1331,<100 DM,<1 year,2,male : single,none,1,car or other (not in attribute 6),22,stores,own,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,1164.81
0-200 DM,18,no credits taken / all paid duly,car (new),2278,100-500 DM,<1 year,3,female : divorced/separated/married,none,3,car or other (not in attribute 6),28,none,own,2,skilled employee / official,1,none,yes,2,bad,0-175 EUR,87-437 EUR,1993.56
no checking account,21,no credits taken / all paid duly,car (new),5003,unknown / no savings account,1-4 years,1,female : divorced/separated/married,none,4,building society savings / life insurance,29,bank,own,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,no checking account,unknown / no savings account,4378.32
<0 DM,24,all credits at this bank paid duly,furniture/equipment,3552,<100 DM,4-7 years,3,male : single,none,4,car or other (not in attribute 6),27,bank,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,3108.49
0-200 DM,18,critical account / other credits,furniture/equipment,1928,<100 DM,<1 year,2,male : single,none,2,real estate,31,none,own,2,unskilled resident,1,none,yes,2,bad,0-175 EUR,<87 EUR,1687.27
<0 DM,24,existing credits paid duly till now,car (used),2964,unknown / no savings account,>=7 years,4,male : single,none,4,unknown / no property,49,bank,for free,1,skilled employee / official,2,"yes, registered under customer name",yes,1,good,<0 EUR,unknown / no savings account,2593.91
<0 DM,24,all credits at this bank paid duly,radio/television,1546,<100 DM,4-7 years,4,male : single,guarantor,4,car or other (not in attribute 6),24,bank,rent,1,unskilled resident,1,none,yes,2,bad,<0 EUR,<87 EUR,1352.96
>=200 DM / salary assignments,6,delay in paying off in the past,radio/television,683,<100 DM,<1 year,2,female : divorced/separated/married,none,1,building society savings / life insurance,29,bank,own,1,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,597.72
0-200 DM,36,existing credits paid duly till now,car (new),12389,unknown / no savings account,1-4 years,1,male : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,unknown / no savings account,10842.09
0-200 DM,24,delay in paying off in the past,business,4712,unknown / no savings account,1-4 years,4,male : single,none,2,building society savings / life insurance,37,bank,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,4123.65
0-200 DM,24,delay in paying off in the past,radio/television,1553,100-500 DM,4-7 years,3,female : divorced/separated/married,none,2,building society savings / life insurance,23,none,rent,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,87-437 EUR,1359.09
<0 DM,12,existing credits paid duly till now,car (new),1372,<100 DM,4-7 years,2,male : divorced/separated,none,3,car or other (not in attribute 6),36,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,1200.69
no checking account,24,critical account / other credits,radio/television,2578,>=1000 DM,>=7 years,2,male : single,none,2,car or other (not in attribute 6),34,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,>=875 EUR,2256.11
0-200 DM,48,existing credits paid duly till now,radio/television,3979,unknown / no savings account,4-7 years,4,male : single,none,1,car or other (not in attribute 6),41,none,own,2,skilled employee / official,2,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,3482.17
<0 DM,48,existing credits paid duly till now,radio/television,6758,<100 DM,1-4 years,3,female : divorced/separated/married,none,2,car or other (not in attribute 6),31,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,5914.18
<0 DM,24,existing credits paid duly till now,furniture/equipment,3234,<100 DM,<1 year,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled resident,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,2830.2
no checking account,30,critical account / other credits,radio/television,5954,<100 DM,4-7 years,3,male : single,co-applicant,2,car or other (not in attribute 6),38,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,5210.57
no checking account,24,existing credits paid duly till now,car (used),5433,unknown / no savings account,unemployed,2,female : divorced/separated/married,none,4,building society savings / life insurance,26,none,rent,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,4754.62
<0 DM,15,existing credits paid duly till now,business,806,<100 DM,1-4 years,4,female : divorced/separated/married,none,4,building society savings / life insurance,22,none,own,1,unskilled resident,1,none,yes,1,good,<0 EUR,<87 EUR,705.36
0-200 DM,9,existing credits paid duly till now,radio/television,1082,<100 DM,>=7 years,4,male : single,none,4,car or other (not in attribute 6),27,none,own,2,unskilled resident,1,none,yes,1,good,0-175 EUR,<87 EUR,946.9
no checking account,15,critical account / other credits,furniture/equipment,2788,<100 DM,4-7 years,2,female : divorced/separated/married,co-applicant,3,car or other (not in attribute 6),24,bank,own,2,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,2439.88
0-200 DM,12,existing credits paid duly till now,radio/television,2930,<100 DM,4-7 years,2,female : divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,2564.15
no checking account,24,critical account / other credits,education,1927,unknown / no savings account,1-4 years,3,female : divorced/separated/married,none,2,car or other (not in attribute 6),33,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,1686.39
0-200 DM,36,critical account / other credits,car (new),2820,<100 DM,<1 year,4,male : divorced/separated,none,4,car or other (not in attribute 6),27,none,own,2,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,2467.89
no checking account,24,existing credits paid duly till now,retraining,937,<100 DM,<1 year,4,male : married/widowed,none,3,car or other (not in attribute 6),27,none,own,2,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,820.0
0-200 DM,18,critical account / other credits,car (new),1056,<100 DM,>=7 years,3,male : single,guarantor,3,real estate,30,bank,own,2,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,924.15
0-200 DM,12,critical account / other credits,car (new),3124,<100 DM,<1 year,1,male : single,none,3,real estate,49,bank,own,2,unskilled resident,2,none,yes,1,good,0-175 EUR,<87 EUR,2733.93
no checking account,9,existing credits paid duly till now,furniture/equipment,1388,<100 DM,1-4 years,4,female : divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1214.69
0-200 DM,36,existing credits paid duly till now,repairs,2384,<100 DM,<1 year,4,male : single,none,1,unknown / no property,33,none,rent,1,unskilled resident,1,none,yes,2,bad,0-175 EUR,<87 EUR,2086.33
no checking account,12,existing credits paid duly till now,car (new),2133,unknown / no savings account,>=7 years,4,female : divorced/separated/married,none,4,unknown / no property,52,none,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,1866.67
<0 DM,18,existing credits paid duly till now,furniture/equipment,2039,<100 DM,1-4 years,1,female : divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,1784.41
<0 DM,9,critical account / other credits,car (new),2799,<100 DM,1-4 years,2,male : single,none,2,real estate,36,none,rent,2,skilled employee / official,2,none,yes,1,good,<0 EUR,<87 EUR,2449.51
<0 DM,12,existing credits paid duly till now,furniture/equipment,1289,<100 DM,1-4 years,4,male : single,guarantor,1,building society savings / life insurance,21,none,own,1,unskilled resident,1,none,yes,1,good,<0 EUR,<87 EUR,1128.05
<0 DM,18,existing credits paid duly till now,domestic appliances,1217,<100 DM,1-4 years,4,male : married/widowed,none,3,real estate,47,none,own,1,unskilled resident,1,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,1065.04
<0 DM,12,critical account / other credits,furniture/equipment,2246,<100 DM,>=7 years,3,male : single,none,3,building society savings / life insurance,60,none,own,2,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,1965.56
<0 DM,12,critical account / other credits,radio/television,385,<100 DM,4-7 years,4,female : divorced/separated/married,none,3,real estate,58,none,own,4,unskilled resident,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,336.93
0-200 DM,24,delay in paying off in the past,car (new),1965,unknown / no savings account,1-4 years,4,female : divorced/separated/married,none,4,car or other (not in attribute 6),42,none,rent,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,1719.65
no checking account,21,existing credits paid duly till now,business,1572,>=1000 DM,>=7 years,4,female : divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled resident,1,none,yes,1,good,no checking account,>=875 EUR,1375.72
0-200 DM,24,existing credits paid duly till now,car (new),2718,<100 DM,1-4 years,3,female : divorced/separated/married,none,4,building society savings / life insurance,20,none,rent,1,unskilled resident,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,2378.63
<0 DM,24,all credits at this bank paid duly,others,1358,unknown / no savings account,>=7 years,4,male : single,none,3,car or other (not in attribute 6),40,stores,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,<0 EUR,unknown / no savings account,1188.44
0-200 DM,6,all credits at this bank paid duly,car (new),931,100-500 DM,<1 year,1,female : divorced/separated/married,none,1,building society savings / life insurance,32,stores,own,1,unskilled resident,1,none,yes,2,bad,0-175 EUR,87-437 EUR,814.75
<0 DM,24,existing credits paid duly till now,car (new),1442,<100 DM,4-7 years,4,female : divorced/separated/married,none,4,car or other (not in attribute 6),23,none,rent,2,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,1261.95
0-200 DM,24,no credits taken / all paid duly,business,4241,<100 DM,1-4 years,1,male : single,none,4,real estate,36,none,own,3,unskilled resident,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,3711.46
no checking account,18,critical account / other credits,car (new),2775,<100 DM,4-7 years,2,male : single,none,2,building society savings / life insurance,31,bank,own,2,skilled employee / official,1,none,yes,2,bad,no checking account,<87 EUR,2428.51
no checking account,24,delay in paying off in the past,business,3863,<100 DM,1-4 years,1,male : single,none,2,unknown / no property,32,none,for free,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,3380.66
0-200 DM,7,existing credits paid duly till now,radio/television,2329,<100 DM,<1 year,1,female : divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,2038.2
0-200 DM,9,existing credits paid duly till now,furniture/equipment,918,<100 DM,1-4 years,4,female : divorced/separated/married,none,1,building society savings / life insurance,30,none,own,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,<87 EUR,803.38
0-200 DM,24,all credits at this bank paid duly,education,1837,<100 DM,4-7 years,4,female : divorced/separated/married,none,4,unknown / no property,34,bank,for free,1,unskilled resident,1,none,yes,2,bad,0-175 EUR,<87 EUR,1607.63
no checking account,36,existing credits paid duly till now,furniture/equipment,3349,<100 DM,1-4 years,4,female : divorced/separated/married,none,2,car or other (not in attribute 6),28,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,no checking account,<87 EUR,2930.84
>=200 DM / salary assignments,10,existing credits paid duly till now,furniture/equipment,1275,<100 DM,<1 year,4,female : divorced/separated/married,none,2,building society savings / life insurance,23,none,own,1,skilled employee / official,1,none,yes,1,good,>=175 EUR / salary assignments,<87 EUR,1115.8
<0 DM,24,all credits at this bank paid duly,furniture/equipment,2828,500-1000 DM,1-4 years,4,male : single,none,4,real estate,22,stores,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,<0 EUR,437-875 EUR,2474.89
no checking account,24,critical account / other credits,business,4526,<100 DM,1-4 years,3,male : single,none,2,real estate,74,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,3960.87
0-200 DM,36,existing credits paid duly till now,radio/television,2671,100-500 DM,1-4 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,87-437 EUR,2337.49
no checking account,18,existing credits paid duly till now,radio/television,2051,<100 DM,<1 year,4,male : single,none,1,real estate,33,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,<87 EUR,1794.91
no checking account,15,existing credits paid duly till now,car (used),1300,unknown / no savings account,>=7 years,4,male : single,none,4,unknown / no property,45,bank,for free,1,skilled employee / official,2,none,yes,1,good,no checking account,unknown / no savings account,1137.68
<0 DM,12,existing credits paid duly till now,domestic appliances,741,100-500 DM,unemployed,4,female : divorced/separated/married,none,3,building society savings / life insurance,22,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,87-437 EUR,648.48
>=200 DM / salary assignments,10,existing credits paid duly till now,car (new),1240,100-500 DM,>=7 years,1,female : divorced/separated/married,none,4,unknown / no property,48,none,for free,1,unskilled resident,2,none,yes,2,bad,>=175 EUR / salary assignments,87-437 EUR,1085.17
<0 DM,21,existing credits paid duly till now,radio/television,3357,>=1000 DM,<1 year,4,female : divorced/separated/married,none,2,car or other (not in attribute 6),29,bank,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,>=875 EUR,2937.84
<0 DM,24,all credits at this bank paid duly,car (used),3632,<100 DM,1-4 years,1,female : divorced/separated/married,guarantor,4,car or other (not in attribute 6),22,bank,rent,1,skilled employee / official,1,none,no,1,good,<0 EUR,<87 EUR,3178.5
no checking account,18,delay in paying off in the past,furniture/equipment,1808,<100 DM,4-7 years,4,female : divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes,2,bad,no checking account,<87 EUR,1582.25
0-200 DM,48,no credits taken / all paid duly,business,12204,unknown / no savings account,1-4 years,2,male : single,none,2,car or other (not in attribute 6),48,bank,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,0-175 EUR,unknown / no savings account,10680.18
0-200 DM,60,delay in paying off in the past,radio/television,9157,unknown / no savings account,1-4 years,2,male : single,none,2,unknown / no property,27,none,for free,1,management / self-employed / highly qualified,1,none,yes,1,good,0-175 EUR,unknown / no savings account,8013.64
<0 DM,6,critical account / other credits,car (new),3676,<100 DM,1-4 years,1,male : single,none,3,real estate,37,none,rent,3,skilled employee / official,2,none,yes,1,good,<0 EUR,<87 EUR,3217.01
0-200 DM,30,existing credits paid duly till now,furniture/equipment,3441,100-500 DM,1-4 years,2,female : divorced/separated/married,co-applicant,4,car or other (not in attribute 6),21,none,rent,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,87-437 EUR,3011.35
no checking account,12,existing credits paid duly till now,car (new),640,<100 DM,1-4 years,4,male : divorced/separated,none,2,real estate,49,none,own,1,unskilled resident,1,none,yes,1,good,no checking account,<87 EUR,560.09
0-200 DM,21,critical account / other credits,business,3652,<100 DM,4-7 years,2,male : single,none,3,building society savings / life insurance,27,none,own,2,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,3196.0
no checking account,18,critical account / other credits,car (new),1530,<100 DM,1-4 years,3,male : single,none,2,building society savings / life insurance,32,bank,own,2,skilled employee / official,1,none,yes,2,bad,no checking account,<87 EUR,1338.96
no checking account,48,existing credits paid duly till now,business,3914,unknown / no savings account,1-4 years,4,male : divorced/separated,none,2,real estate,38,bank,own,1,skilled employee / official,1,none,yes,2,bad,no checking account,unknown / no savings account,3425.29
<0 DM,12,existing credits paid duly till now,furniture/equipment,1858,<100 DM,<1 year,4,female : divorced/separated/married,none,1,car or other (not in attribute 6),22,none,rent,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,1626.01
<0 DM,18,existing credits paid duly till now,radio/television,2600,<100 DM,1-4 years,4,male : single,none,4,unknown / no property,65,none,for free,2,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,2275.36
no checking account,15,existing credits paid duly till now,radio/television,1979,unknown / no savings account,>=7 years,4,male : single,none,2,car or other (not in attribute 6),35,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,unknown / no savings account,1731.9
>=200 DM / salary assignments,6,existing credits paid duly till now,furniture/equipment,2116,<100 DM,1-4 years,2,male : single,none,2,real estate,41,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,>=175 EUR / salary assignments,<87 EUR,1851.79
0-200 DM,9,all credits at this bank paid duly,car (new),1437,100-500 DM,4-7 years,2,male : single,none,3,unknown / no property,29,none,own,1,skilled employee / official,1,none,yes,2,bad,0-175 EUR,87-437 EUR,1257.57
no checking account,42,critical account / other credits,furniture/equipment,4042,500-1000 DM,1-4 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,437-875 EUR,3537.31
no checking account,9,existing credits paid duly till now,education,3832,unknown / no savings account,>=7 years,1,male : single,none,4,real estate,64,none,own,1,unskilled resident,1,none,yes,1,good,no checking account,unknown / no savings account,3353.53
<0 DM,24,existing credits paid duly till now,radio/television,3660,<100 DM,1-4 years,2,female : divorced/separated/married,none,4,car or other (not in attribute 6),28,none,own,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,3203.01
<0 DM,18,all credits at this bank paid duly,furniture/equipment,1553,<100 DM,1-4 years,4,male : single,none,3,car or other (not in attribute 6),44,bank,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,1359.09
0-200 DM,15,existing credits paid duly till now,radio/television,1444,unknown / no savings account,<1 year,4,male : single,none,1,building society savings / life insurance,23,none,own,1,skilled employee / official,1,none,yes,1,good,0-175 EUR,unknown / no savings account,1263.7
no checking account,9,existing credits paid duly till now,furniture/equipment,1980,<100 DM,<1 year,2,female : divorced/separated/married,co-applicant,2,car or other (not in attribute 6),19,none,rent,2,skilled employee / official,1,none,yes,2,bad,no checking account,<87 EUR,1732.77
0-200 DM,24,existing credits paid duly till now,car (new),1355,<100 DM,<1 year,3,female : divorced/separated/married,none,4,car or other (not in attribute 6),25,none,own,1,unskilled resident,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,<87 EUR,1185.81
no checking account,12,existing credits paid duly till now,education,1393,<100 DM,>=7 years,4,male : single,none,4,building society savings / life insurance,47,bank,own,3,skilled employee / official,2,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1219.07
no checking account,24,existing credits paid duly till now,radio/television,1376,500-1000 DM,4-7 years,4,female : divorced/separated/married,none,1,car or other (not in attribute 6),28,none,own,1,skilled employee / official,1,none,yes,1,good,no checking account,437-875 EUR,1204.19
no checking account,60,delay in paying off in the past,radio/television,15653,<100 DM,4-7 years,2,male : single,none,4,car or other (not in attribute 6),21,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,13698.54
no checking account,12,existing credits paid duly till now,radio/television,1493,<100 DM,<1 year,4,female : divorced/separated/married,none,3,car or other (not in attribute 6),34,none,own,1,skilled employee / official,2,none,yes,1,good,no checking account,<87 EUR,1306.58
<0 DM,42,delay in paying off in the past,radio/television,4370,<100 DM,4-7 years,3,male : single,none,2,building society savings / life insurance,26,bank,own,2,skilled employee / official,2,"yes, registered under customer name",yes,2,bad,<0 EUR,<87 EUR,3824.35
<0 DM,18,existing credits paid duly till now,education,750,<100 DM,unemployed,4,female : divorced/separated/married,none,1,real estate,27,none,own,1,unemployed / unskilled non-resident,1,none,yes,2,bad,<0 EUR,<87 EUR,656.35
0-200 DM,15,existing credits paid duly till now,repairs,1308,<100 DM,>=7 years,4,male : single,none,4,car or other (not in attribute 6),38,none,own,2,unskilled resident,1,none,yes,1,good,0-175 EUR,<87 EUR,1144.68
no checking account,15,existing credits paid duly till now,education,4623,100-500 DM,1-4 years,3,male : single,none,2,building society savings / life insurance,40,none,own,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,no checking account,87-437 EUR,4045.76
no checking account,24,critical account / other credits,radio/television,1851,<100 DM,4-7 years,4,male : married/widowed,guarantor,2,car or other (not in attribute 6),33,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,1619.88
<0 DM,18,critical account / other credits,radio/television,1880,<100 DM,4-7 years,4,male : married/widowed,none,1,building society savings / life insurance,32,none,own,2,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,1645.26
no checking account,36,delay in paying off in the past,business,7980,unknown / no savings account,<1 year,4,male : single,none,4,car or other (not in attribute 6),27,none,rent,2,skilled employee / official,1,"yes, registered under customer name",yes,2,bad,no checking account,unknown / no savings account,6983.6
<0 DM,30,no credits taken / all paid duly,furniture/equipment,4583,<100 DM,1-4 years,2,male : divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,4010.76
no checking account,12,existing credits paid duly till now,car (new),1386,500-1000 DM,1-4 years,2,female : divorced/separated/married,none,2,building society savings / life insurance,26,none,own,1,skilled employee / official,1,none,yes,2,bad,no checking account,437-875 EUR,1212.94
>=200 DM / salary assignments,24,existing credits paid duly till now,car (new),947,<100 DM,4-7 years,4,male : single,none,3,unknown / no property,38,bank,for free,1,skilled employee / official,2,none,yes,2,bad,>=175 EUR / salary assignments,<87 EUR,828.76
<0 DM,12,existing credits paid duly till now,education,684,<100 DM,1-4 years,4,male : single,none,4,car or other (not in attribute 6),40,none,rent,1,unskilled resident,2,none,yes,2,bad,<0 EUR,<87 EUR,598.59
<0 DM,48,existing credits paid duly till now,education,7476,<100 DM,4-7 years,4,male : single,none,1,unknown / no property,50,none,for free,1,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,1,good,<0 EUR,<87 EUR,6542.53
0-200 DM,12,existing credits paid duly till now,furniture/equipment,1922,<100 DM,1-4 years,4,male : single,none,2,building society savings / life insurance,37,none,own,1,unskilled resident,1,none,yes,2,bad,0-175 EUR,<87 EUR,1682.02
<0 DM,24,existing credits paid duly till now,car (new),2303,<100 DM,>=7 years,4,male : single,co-applicant,1,real estate,45,none,own,1,skilled employee / official,1,none,yes,2,bad,<0 EUR,<87 EUR,2015.44
0-200 DM,36,delay in paying off in the past,car (new),8086,100-500 DM,>=7 years,2,male : single,none,4,car or other (not in attribute 6),42,none,own,4,management / self-employed / highly qualified,1,"yes, registered under customer name",yes,2,bad,0-175 EUR,87-437 EUR,7076.37
no checking account,24,critical account / other credits,car (used),2346,<100 DM,4-7 years,4,male : single,none,3,car or other (not in attribute 6),35,none,own,2,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,<87 EUR,2053.07
<0 DM,14,existing credits paid duly till now,car (new),3973,<100 DM,unemployed,1,male : single,none,4,unknown / no property,22,none,for free,1,skilled employee / official,1,none,yes,1,good,<0 EUR,<87 EUR,3476.92
0-200 DM,12,existing credits paid duly till now,car (new),888,<100 DM,>=7 years,4,male : single,none,4,car or other (not in attribute 6),41,bank,own,1,unskilled resident,2,none,yes,2,bad,0-175 EUR,<87 EUR,777.12
no checking account,48,existing credits paid duly till now,radio/television,10222,unknown / no savings account,4-7 years,4,male : single,none,3,car or other (not in attribute 6),37,stores,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,no checking account,unknown / no savings account,8945.66
0-200 DM,30,no credits taken / all paid duly,business,4221,<100 DM,1-4 years,2,female : divorced/separated/married,none,1,car or other (not in attribute 6),28,none,own,2,skilled employee / official,1,none,yes,1,good,0-175 EUR,<87 EUR,3693.96
0-200 DM,18,critical account / other credits,furniture/equipment,6361,<100 DM,>=7 years,2,male : single,none,1,unknown / no property,41,none,own,1,skilled employee / official,1,"yes, registered under customer name",yes,1,good,0-175 EUR,<87 EUR,5566.75
